Dieta,Refeição,Alimentos
1600 calorias,Café da Manhã,"3 Ovos, 1 fatia de pão de forma integral"
1600 calorias,Lanche da Manhã,1 banana amassada com 4 colheres de sopa de aveia
1600 calorias,Almoço,"125g de arroz cozido, 1 concha de feijão, 200g de filé de frango grelhado, meio tomate, 1 folha de alface"
1600 calorias,Lanche da Tarde,1 banana amassada com 4 colheres de sopa de aveia
1600 calorias,Jantar,"100g de batata doce cozida, 150g de filé de frango grelhado, 1 folha de alface"
1600 calorias,Ceia,4 castanhas do pará e 1 iogurte zero açúcar 90g
1800 calorias,Café da Manhã,"3 ovos, 2 fatias de pão de forma integral"
1800 calorias,Lanche da Manhã,1 banana amassada com 4 colheres de sopa de aveia
1800 calorias,Almoço,"150g de arroz cozido, 1 concha de feijão, 200g de filé de frango grelhado, 1 colher de azeite de oliva, 1 folha de alface, meio tomate"
1800 calorias,Lanche da Tarde,"1 pão francês, 2 fatias de peito de peru, café com adoçante"
1800 calorias,Jantar,"100g de batata doce cozida, 150g de filé de frango grelhado, 1 folha de alface"
1800 calorias,Ceia,"1 colher de pasta de amendoim sem açúcar, 1 iogurte zero açúcar 90g"
2000 calorias,Café da Manhã,"2 fatias de pão de forma integral, 3 ovos, 1 laranja"
2000 calorias,Lanche da Manhã,1 banana amassada com 4 colheres de sopa de aveia e canela
2000 calorias,Almoço,"200g de arroz cozido, 1 concha de feijão, 200g de filé de frango grelhado, 1 colher de azeite de oliva, 1 folha de alface e tomate"
2000 calorias,Lanche da Tarde,"Café sem açúcar, 1 pão francês com 1 fatia de peito de peru, 1 maçã"
2000 calorias,Jantar,"150g de filé de frango grelhado, 150g de batata doce cozida, 1 folha de alface"
2000 calorias,Ceia,"Iogurte zero açúcar 90g, 4 castanhas do pará"
2200 calorias,Café da Manhã,"Vitamina com whey, 200ml de leite, 4 colheres de sopa de aveia"
2200 calorias,Lanche da Manhã,"1 maçã, 1 iogurte zero 90g"
2200 calorias,Almoço,"200g de arroz cozido, 1 colher de sopa de azeite de oliva, 125g de filé de peito de frango grelhado, cenoura e brócolis"
2200 calorias,Lanche da Tarde,1 Rap 10 integral ou tapioca com 3 ovos e 1 fatia de mussarela
2200 calorias,Jantar,"200g de arroz cozido, 100g de patinho grelhado, 1 folha de alface"
2200 calorias,Ceia,"1 colher de sopa de pasta de amendoim integral, 1 banana"
